author,datetime,link,subtitle,title
BBC, 07/03/2023 14h35 ,https://g1.globo.com/pop-arte/moda-e-beleza/noticia/2023/03/07/tiktok-os-perigos-dos-polemicos-filtros-de-beleza-do-app.ghtml,Pesquisas indicam que filtros virtuais podem fazer os usuários se sentirem pior em relação si mesmos.,TikTok: os perigos dos polêmicos filtros de beleza do app
"Julia Vergin, Deutsche Welle", 07/03/2023 04h00 ,https://g1.globo.com/mundo/ucrania-russia/noticia/2023/03/07/como-as-armas-usadas-na-ucrania-contaminam-o-solo-e-as-aguas.ghtml,Amostras de solo mostram altas concentrações de metais pesados cancerígenos e fundo do Mar Negro está repleto de explosivos. Acredita-se que essas substâncias nocivas podem chegar ao homem por alimentos e pela água.,Armas usadas na Ucrânia contaminam solo e águas e são nocivas; entenda
g1, 07/03/2023 14h18 ,https://g1.globo.com/pop-arte/noticia/2023/03/07/ccxp-2023-feira-de-cultura-pop-vai-acontecer-entre-30-de-novembro-e-3-de-dezembro.ghtml,Venda de ingressos da 10ª edição do evento começa no dia 6 de abril. ,"CCXP 2023, feira de cultura pop, vai acontecer entre 30 de novembro e 3 de dezembro"
g1, 07/03/2023 14h31 ,https://g1.globo.com/mundo/noticia/2023/03/07/presidente-da-argentina-anuncia-medidas-para-conter-violencia-em-rosario-onde-mercado-de-familia-de-messi-foi-alvo-de-tiros.ghtml,"Em outro ataque, uma criança de 11 anos morreu após atiradores invadirem uma festa de aniversário. Alberto Fernández prometeu reforço de agentes federais e urbanização da região.","Presidente da Argentina anuncia medidas para conter violência em Rosario, onde mercado de família de Messi foi alvo de tiros"
Matheus Rodrigues, 07/03/2023 14h37 ,https://g1.globo.com/rj/rio-de-janeiro/noticia/2023/03/07/apos-virar-meme-por-apartamento-com-vista-fake-no-rio-turista-celebra-diaria-em-hotel-de-luxo-os-humilhados-serao-os-exaltados.ghtml,"Em entrevista ao g1, a turista paulista Gabriela Camargo contou o que achou do presente após ser surpreendida com vista fake no apartamento que alugou em Copacabana para o carnaval.","Após virar meme por apartamento com vista fake no Rio, turista celebra diária em hotel de luxo: 'Os humilhados serão os exaltados'"
Carol Lorencetti, 07/03/2023 05h03 ,https://g1.globo.com/economia/agronegocios/noticia/2023/03/07/sabe-tudo-sobre-os-alimentos-do-ovo-ao-cafe-teste-seus-conhecimentos-no-quiz.ghtml,Podcast 'De onde vem o que eu como' traz um especial com os produtos mais consumidos do país. ,"Do ovo ao café, sabe tudo sobre os alimentos? Teste seus conhecimentos"
Roney Domingos, 07/03/2023 13h16 ,https://g1.globo.com/fato-ou-fake/noticia/2023/03/07/e-fake-que-homem-em-nhandeara-foi-internado-na-uti-apos-tomar-vacina-contra-a-covid.ghtml,Prefeitura e governo do Estado afirmam que homem citado não tomou nenhum imunizante antes de passar mal. Áudio com informações falsas circula nas redes sociais.,É #FAKE que homem em Nhandeara foi internado na UTI após tomar vacina contra a Covid
Beatriz Borges, 07/03/2023 13h08 ,https://g1.globo.com/politica/noticia/2023/03/07/grupo-parlamentar-defende-ampliacao-da-campanha-de-prevencao-ao-cancer-de-colo-do-utero.ghtml,Congresso Nacional deve criar Frente Parlamentar em Defesa da Saúde das Mulheres nos próximos dias. Integrantes do grupo também vão elaborar propostas voltadas ao tema.,Grupo parlamentar defende ampliar campanha de prevenção ao câncer de colo do útero
César Galvão e Nathalia Barbosa SP e TV Globo, 07/03/2023 13h42 ,https://g1.globo.com/sp/sao-paulo/noticia/2023/03/07/trilheira-que-estava-desaparecida-desde-domingo-e-encontrada-em-sao-bernardo-do-campo-na-grande-sp.ghtml,Corpo de Bombeiros realizou o resgate na manhã desta terça-feira (7). Cecília Nunes Siqueira fazia o trajeto com outro trilheiro quando se distanciou e não tinha sido mais vista.,"Trilheira que estava desaparecida desde domingo é encontrada em São Bernardo do Campo, na Grande SP"
Octavio Guedes, 07/03/2023 13h35 ,https://g1.globo.com/politica/blog/octavio-guedes/post/2023/03/07/para-pl-bolsonaro-ia-ficar-com-joias-que-seriam-de-michelle.ghtml,Caciques do partido veem grande crise conjugal entre Bolsonaro e Michelle.,"Para PL, Bolsonaro ia ficar com joias que seriam de Michelle"
"Guilherme Peixoto, RJ1", 07/03/2023 13h39 ,https://g1.globo.com/rj/rio-de-janeiro/noticia/2023/03/07/pm-admite-erros-no-policiamento-de-flamengo-x-vasco-e-anuncia-que-torcidas-rubro-negras-estao-afastadas-por-90-dias.ghtml,"Decisão já vale para Flamengo e Fluminense, nesta quarta-feira (8), pelo Campeonato Carioca. ",PM admite erros no policiamento de Flamengo x Vasco e anuncia que torcidas rubro-negras estão afastadas por 90 dias
g1, 07/03/2023 12h23 ,https://g1.globo.com/sp/sao-paulo/noticia/2023/03/07/chuva-deixa-toda-cidade-de-sp-em-estado-de-atencao-para-alagamentos-nesta-terca.ghtml,"Segundo o Centro de Gerenciamento de Emergências (CGE), da prefeitura, zonas Norte, Sul e Oeste foram as mais afetadas. Término do estado ocorreu às 12h53. ",Chuva deixa toda cidade de SP em estado de atenção para alagamentos nesta terça 
g1 Presidente Prudente, 07/03/2023 12h26 ,https://g1.globo.com/sp/presidente-prudente-regiao/noticia/2023/03/07/trabalhores-do-oeste-paulista-tem-67-vagas-de-emprego-para-todos-os-niveis-de-escolaridade.ghtml,"Há oportunidades para pessoas que ainda estão estudando ou já concluíram os ensinos superior, técnico, médio ou fundamental.",Trabalhores do Oeste Paulista têm 67 vagas de emprego para todos os níveis de escolaridade
